日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,920174,19.73,20.23,20.38,19.59,28458,57652805.48,4.01,2.64,0.52,5.71
2024-01-03,920174,20.32,20.74,21.46,20.1,29455,62108769.32,6.72,2.52,0.51,5.91
2024-01-04,920174,20.82,22.45,22.76,20.62,56360,122693426.95,10.32,8.24,1.71,11.3
2024-01-05,920174,22.69,22.04,23.6,21.18,51753,115971465.82,10.78,-1.83,-0.41,10.38
2024-01-08,920174,21.8,20.92,22.3,20.92,29374,64921796.86,6.26,-5.08,-1.12,5.89
2024-01-09,920174,20.78,19.65,20.78,19.09,45187,90967388.93,8.08,-6.07,-1.27,9.06
2024-01-10,920174,19.62,20.12,20.16,19.09,26091,52202308.45,5.45,2.39,0.47,5.23
2024-01-11,920174,19.92,20.11,20.36,19.42,19544,39559757.82,4.67,-0.05,-0.01,3.92
2024-01-12,920174,19.91,18.6,20.9,17.7,34789,70466311.23,15.91,-7.51,-1.51,6.98
2024-01-15,920174,18.46,17.52,18.77,17.51,24321,44577377.18,6.77,-5.81,-1.08,4.88
2024-01-16,920174,17.75,18.79,18.85,16.76,32299,58420254.8,11.93,7.25,1.27,6.48
2024-01-17,920174,18.55,18.85,19.78,18.45,30773,59908134.41,7.08,0.32,0.06,6.17
2024-01-18,920174,18.53,20.29,20.29,18.48,28576,56151202.61,9.6,7.64,1.44,5.73
2024-01-19,920174,20.65,22.15,22.16,20.29,43307,93578943.56,9.22,9.17,1.86,8.68
2024-01-22,920174,23.9,22.2,24.2,22.08,65503,153993338.04,9.57,0.23,0.05,13.14
2024-01-23,920174,22.2,23.15,23.26,21.2,40113,90588168.38,9.28,4.28,0.95,8.04
2024-01-24,920174,23.18,22.54,23.5,21.87,25959,59640966.63,7.04,-2.63,-0.61,5.21
2024-01-25,920174,23.25,24.29,25.43,22.7,58862,143071678.36,12.11,7.76,1.75,11.8
2024-01-26,920174,23.89,23.53,25.08,23.22,37247,90570389.93,7.66,-3.13,-0.76,7.47
2024-01-29,920174,23.3,21.44,23.48,21.35,31583,71082058.45,9.05,-8.88,-2.09,6.33
2024-01-30,920174,20.96,20.65,21.82,20.2,19964,42552050.05,7.56,-3.68,-0.79,4.0
2024-01-31,920174,21.0,21.26,21.8,20.73,20779,45158796.1,5.18,2.95,0.61,4.17
2024-02-01,920174,21.15,20.32,21.7,20.22,18134,38826255.89,6.96,-4.42,-0.94,3.64
2024-02-02,920174,20.28,19.52,20.55,18.54,25559,50275445.86,9.89,-3.94,-0.8,5.13
2024-02-05,920174,19.3,20.12,20.7,18.38,25224,50182674.08,11.89,3.07,0.6,5.06
2024-02-06,920174,19.8,22.42,22.56,19.6,30170,65593951.2,14.71,11.43,2.3,6.05
2024-02-07,920174,22.6,21.62,23.66,21.38,31054,70443223.87,10.17,-3.57,-0.8,6.23
2024-02-08,920174,22.1,21.66,22.15,20.73,20266,44438498.64,6.57,0.19,0.04,4.06
2024-02-19,920174,21.66,21.06,21.69,20.45,30380,64129376.78,5.72,-2.77,-0.6,6.09
2024-02-20,920174,20.95,21.28,21.4,20.5,19509,41544782.44,4.27,1.04,0.22,3.91
2024-02-21,920174,21.22,20.9,21.63,20.85,19710,42239857.1,3.67,-1.79,-0.38,3.95
2024-02-22,920174,20.71,20.45,21.2,20.2,17081,35601255.76,4.78,-2.15,-0.45,3.43
2024-02-23,920174,20.4,19.83,20.4,19.6,19004,38496130.02,3.91,-3.03,-0.62,3.81
2024-02-26,920174,20.11,21.06,21.35,20.11,26155,55133864.67,6.25,6.2,1.23,5.25
2024-02-27,920174,21.23,21.84,21.89,20.9,27458,60050740.35,4.7,3.7,0.78,5.51
2024-02-28,920174,21.99,20.56,22.14,20.4,23533,50932942.29,7.97,-5.86,-1.28,4.72
2024-02-29,920174,20.51,20.98,21.1,20.51,14726,31158356.64,2.87,2.04,0.42,2.95
2024-03-01,920174,21.64,21.23,21.68,21.1,16411,35539573.07,2.76,1.19,0.25,3.29
2024-03-04,920174,21.23,22.06,22.68,21.2,24758,55563665.43,6.97,3.91,0.83,4.96
2024-03-05,920174,21.98,21.0,21.98,20.8,16434,35399603.16,5.35,-4.81,-1.06,3.3
2024-03-06,920174,20.82,20.93,21.15,20.62,9257,19662055.24,2.52,-0.33,-0.07,1.86
2024-03-07,920174,20.93,20.9,21.64,20.84,8971,19285007.42,3.82,-0.14,-0.03,1.8
2024-03-08,920174,21.17,20.91,21.17,20.61,7206,15250569.13,2.68,0.05,0.01,1.45
2024-03-11,920174,21.08,21.07,21.08,20.4,9600,20256975.68,3.25,0.77,0.16,1.93
2024-03-12,920174,21.07,20.6,21.08,20.52,6926,14552639.87,2.66,-2.23,-0.47,1.39
2024-03-13,920174,20.63,19.72,20.69,19.62,11140,22685688.26,5.19,-4.27,-0.88,2.23
2024-03-14,920174,19.89,19.0,19.89,18.81,10664,20847803.22,5.48,-3.65,-0.72,2.14
2024-03-15,920174,19.0,19.82,20.26,18.73,15551,31077660.64,8.05,4.32,0.82,3.12
2024-03-18,920174,19.7,19.97,20.05,19.42,8561,17209853.59,3.18,0.76,0.15,1.72
2024-03-19,920174,19.96,19.58,19.98,19.53,4122,8260188.48,2.25,-1.95,-0.39,0.83
2024-03-20,920174,19.65,19.5,19.71,19.13,7291,14314816.63,2.96,-0.41,-0.08,1.46
2024-03-21,920174,19.49,19.23,20.08,19.08,6499,12778166.58,5.13,-1.38,-0.27,1.3
2024-03-22,920174,19.4,19.26,19.6,19.12,7518,14744400.46,2.5,0.16,0.03,1.51
2024-03-25,920174,19.26,18.6,19.27,18.5,6194,11844578.38,4.0,-3.43,-0.66,1.24
2024-03-26,920174,18.49,18.69,18.84,18.06,8257,15464739.04,4.19,0.48,0.09,1.66
2024-03-27,920174,18.72,18.7,19.54,18.59,9159,17726271.79,5.08,0.05,0.01,1.84
2024-03-28,920174,18.69,19.12,19.47,18.31,10812,20725453.94,6.2,2.25,0.42,2.17
2024-03-29,920174,19.1,19.26,19.47,19.0,5125,10026828.51,2.46,0.73,0.14,1.03
2024-04-01,920174,19.38,18.94,19.38,18.93,5978,11572537.26,2.34,-1.66,-0.32,1.2
2024-04-02,920174,19.04,18.95,19.4,18.81,5509,10679521.39,3.12,0.05,0.01,1.1
2024-04-03,920174,18.91,18.93,19.02,18.66,3771,7194878.04,1.9,-0.11,-0.02,0.76
2024-04-08,920174,18.86,18.39,18.96,18.38,5959,11281550.73,3.06,-2.85,-0.54,1.19
2024-04-09,920174,18.33,18.51,18.67,18.33,3047,5720199.07,1.85,0.65,0.12,0.61
2024-04-10,920174,18.49,18.74,19.14,18.33,7232,13886859.29,4.38,1.24,0.23,1.45
2024-04-11,920174,18.7,19.33,19.6,18.34,12527,24419996.37,6.72,3.15,0.59,2.51
2024-04-12,920174,19.51,19.05,20.07,18.93,9251,18177012.36,5.9,-1.45,-0.28,1.86
2024-04-15,920174,19.01,19.06,19.45,18.62,7821,15200699.85,4.36,0.05,0.01,1.57
2024-04-16,920174,18.94,18.3,19.05,18.11,5902,11090408.8,4.93,-3.99,-0.76,1.18
2024-04-17,920174,18.28,18.8,19.04,18.28,8233,15694089.53,4.15,2.73,0.5,1.65
2024-04-18,920174,18.83,18.85,19.2,18.62,6869,13265087.95,3.09,0.27,0.05,1.38
2024-04-19,920174,18.83,18.8,19.09,18.5,6305,12009605.62,3.13,-0.27,-0.05,1.26
2024-04-22,920174,18.85,19.21,19.33,18.85,8557,16601596.22,2.55,2.18,0.41,1.72
2024-04-23,920174,18.93,18.1,18.93,18.07,16088,29987410.99,4.48,-5.78,-1.11,3.23
2024-04-24,920174,18.12,18.25,18.38,18.12,11263,20915104.81,1.44,0.83,0.15,2.26
2024-04-25,920174,18.29,18.7,18.75,18.22,7822,14789742.17,2.9,2.47,0.45,1.57
2024-04-26,920174,18.59,18.23,18.74,18.17,8791,16459236.71,3.05,-2.51,-0.47,1.76
2024-04-29,920174,18.19,18.76,18.89,18.19,17344,32907056.69,3.84,2.91,0.53,3.48
2024-04-30,920174,18.63,18.68,18.83,18.56,3787,7191410.25,1.44,-0.43,-0.08,0.76
2024-05-06,920174,18.92,18.6,18.92,18.55,5847,11077722.96,1.98,-0.43,-0.08,1.17
2024-05-07,920174,18.7,18.76,18.84,18.56,6709,12750331.3,1.51,0.86,0.16,1.35
2024-05-08,920174,18.87,18.74,18.89,18.65,7152,13646446.4,1.28,-0.11,-0.02,1.43
2024-05-09,920174,18.84,18.76,18.88,18.65,7411,14108455.63,1.23,0.11,0.02,1.49
2024-05-10,920174,18.82,18.73,18.82,18.71,2513,4784856.64,0.59,-0.16,-0.03,0.5
2024-05-13,920174,18.72,18.38,18.85,18.3,4866,9161909.47,2.94,-1.87,-0.35,0.98
2024-05-14,920174,18.59,18.3,18.59,18.3,2402,4480577.69,1.58,-0.44,-0.08,0.48
2024-05-15,920174,18.3,18.29,18.45,18.27,2056,3836190.08,0.98,-0.05,-0.01,0.41
2024-05-16,920174,18.42,17.81,18.42,17.81,3908,7183545.57,3.34,-2.62,-0.48,0.78
2024-05-17,920174,17.97,18.12,18.3,16.91,14436,25717923.55,7.8,1.74,0.31,2.9
2024-05-20,920174,18.25,18.96,19.14,17.97,19022,36184792.04,6.46,4.64,0.84,3.81
2024-05-21,920174,19.03,19.67,19.75,19.03,21455,42500304.01,3.8,3.74,0.71,4.3
2024-05-22,920174,20.0,20.26,21.2,19.9,25678,53704336.83,6.61,3.0,0.59,5.15
2024-05-23,920174,20.42,20.87,21.28,19.8,33055,69184883.49,7.31,3.01,0.61,6.63
2024-05-24,920174,20.68,20.85,21.42,20.11,12937,27263331.36,6.28,-0.1,-0.02,2.59
2024-05-27,920174,20.82,20.93,21.2,20.5,10953,23204686.11,3.36,0.38,0.08,2.13
2024-05-28,920174,21.1,20.41,21.18,20.41,14530,30616064.93,3.68,-2.48,-0.52,2.82
2024-05-29,920174,20.4,19.8,20.4,19.6,13844,27939037.55,3.92,-2.99,-0.61,2.69
2024-05-30,920174,19.78,19.65,20.23,19.56,9519,19226202.6,3.38,-0.76,-0.15,1.85
2024-05-31,920174,19.8,19.41,19.89,19.3,5529,10966190.67,3.0,-1.22,-0.24,1.07
